case_id,event_num_in_case,activity_name,department,resource_role,resource_id,start_timestamp_utc,end_timestamp_utc,duration_minutes,wait_time_minutes,queue_length_at_start,system_load_index_0to1,expected_duration_minutes,variance_to_expected,is_bottleneck_event,inbound_channel,region,customer_tier,industry,company_size_bucket,tech_maturity_1to5,risk_tolerance_1to5,priority,sla_hours,sla_breached,handoff_count_so_far,case_cycle_time_hours,weekday,hour_of_day,month,concurrent_case_count,rolling_wait_time,estimated_system_load
C00005,1,Receive Request,Sales Support,Coordinator,Coordinator-661,2025-02-05 17:14:06,2025-02-05 17:23:51,9.76,29.1,1,0.668,10,-0.024,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,0,16.805555555555557,Wednesday,17,2,0,29.1,0.0
C00005,2,Validate Request,Operations,Analyst,Analyst-903,2025-02-05 19:02:00,2025-02-05 19:43:07,41.12,98.15,5,0.654,30,0.371,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,1,16.805555555555557,Wednesday,19,2,0,63.625,0.43424031527754486
C00005,3,Approve Budget (optional),Finance,Manager,Manager-862,2025-02-05 23:01:42,2025-02-06 02:42:40,220.97,198.57,6,0.488,90,1.455,1,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,2,16.805555555555557,Wednesday,23,2,0,108.60666666666667,1.0
C00005,4,Assign Resource,IT,Manager,Manager-866,2025-02-06 03:59:01,2025-02-06 04:18:39,19.64,76.35,2,0.171,20,-0.018,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,3,16.805555555555557,Thursday,3,2,0,100.54249999999999,0.8985724467549892
C00005,5,Execute Task,IT,Engineer,Engineer-189,2025-02-06 05:06:18,2025-02-06 07:12:37,126.33,47.64,4,0.179,180,-0.298,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,3,16.805555555555557,Thursday,5,2,0,89.962,0.7654955559282242
C00005,6,Quality Check,QA,QA Analyst,QA-650,2025-02-06 08:16:17,2025-02-06 08:53:44,37.45,63.66,4,0.321,45,-0.168,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,4,16.805555555555557,Thursday,8,2,0,85.57833333333333,0.7103597182626196
C00005,7,Close Ticket,Customer Success,Rep,Rep-177,2025-02-06 09:43:29,2025-02-06 10:02:26,18.95,49.75,3,0.441,15,0.263,0,API,US-East,Platinum,Financial Services,1-50,2,3,Medium,24,0,5,16.805555555555557,Thursday,9,2,0,80.46000000000001,0.6459835653194702
C00008,1,Receive Request,Sales Support,Coordinator,Coordinator-591,2025-02-19 12:11:03,2025-02-19 12:23:18,12.24,116.06,4,0.529,10,0.224,0,Email,US-East,Platinum,Retail,1001-5000,3,2,Low,168,0,0,21.87,Wednesday,12,2,0,84.91,0.7019537145732014
C00008,2,Validate Request,Operations,Analyst,Analyst-912,2025-02-19 13:59:12,2025-02-19 14:29:58,30.78,95.9,6,0.635,30,0.026,1,Email,US-East,Platinum,Retail,1001-5000,3,2,Low,168,0,1,21.87,Wednesday,13,2,0,86.13111111111111,0.7173123148303427
C00002,1,Receive Request,Sales Support,Coordinator,Coordinator-984,2025-03-02 08:33:15,2025-03-02 08:54:28,21.23,33.25,2,0.154,10,1.123,1,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,0,9.565833333333334,Sunday,8,3,0,80.84299999999999,0.6508007714237799
