,case_id,event_num_in_case,activity_name,department,resource_role,resource_id,start_timestamp_utc,end_timestamp_utc,duration_minutes,wait_time_minutes,queue_length_at_start,system_load_index_0to1,expected_duration_minutes,variance_to_expected,is_bottleneck_event,inbound_channel,region,customer_tier,industry,company_size_bucket,tech_maturity_1to5,risk_tolerance_1to5,priority,sla_hours,sla_breached,handoff_count_so_far,case_cycle_time_hours,weekday,hour_of_day,month
0,C00001,1,Receive Request,Sales Support,Coordinator,Coordinator-650,2025-07-18T17:02:02,2025-07-18T17:12:21,10.32,182.04,8,0.61,10,0.032,1,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,0,12.454722222222221,Friday,17,7
1,C00001,2,Validate Request,Operations,Analyst,Analyst-683,2025-07-18T17:41:47,2025-07-18T18:13:27,31.67,29.43,6,0.599,30,0.056,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,1,12.454722222222221,Friday,17,7
2,C00001,3,Approve Budget (optional),Finance,Manager,Manager-581,2025-07-18T18:55:46,2025-07-18T19:34:29,38.72,42.31,4,0.507,90,-0.57,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,2,12.454722222222221,Friday,18,7
3,C00001,4,Assign Resource,IT,Manager,Manager-502,2025-07-18T20:34:05,2025-07-18T21:06:34,32.49,59.6,5,0.486,20,0.625,1,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,3,12.454722222222221,Friday,20,7
4,C00001,5,Execute Task,IT,Engineer,Engineer-944,2025-07-18T22:32:05,2025-07-19T02:19:57,227.87,85.51,1,0.385,180,0.266,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,3,12.454722222222221,Friday,22,7
5,C00001,6,Quality Check,QA,QA Analyst,QA-666,2025-07-19T03:31:19,2025-07-19T05:02:38,91.32,71.36,4,0.05,45,1.029,1,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,4,12.454722222222221,Saturday,3,7
6,C00001,7,Close Ticket,Customer Success,Rep,Rep-778,2025-07-19T05:15:15,2025-07-19T05:29:19,14.07,12.62,0,0.05,15,-0.062,0,API,US-West,Standard,Healthcare,51-200,4,2,Medium,96,0,5,12.454722222222221,Saturday,5,7
7,C00002,1,Receive Request,Sales Support,Coordinator,Coordinator-984,2025-03-02T08:33:15,2025-03-02T08:54:28,21.23,33.25,2,0.154,10,1.123,1,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,0,9.565833333333334,Sunday,8,3
8,C00002,2,Validate Request,Operations,Analyst,Analyst-282,2025-03-02T09:27:58,2025-03-02T10:04:34,36.6,33.5,1,0.205,30,0.22,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,1,9.565833333333334,Sunday,9,3
9,C00002,3,Assign Resource,IT,Manager,Manager-185,2025-03-02T11:43:36,2025-03-02T12:08:19,24.72,99.03,4,0.268,20,0.236,0,Email,US-Central,Gold,Software & SaaS,1-50,1,3,Medium,72,0,2,9.565833333333334,Sunday,11,3
